lang,model,precision,recall,f1,tier
ti,xlmr_raw_wiki,0.0625,0.25,0.1,best
ts,xlmr_raw_wiki,0.0625,0.25,0.1,best
mai,xlmr_raw_wiki,0.7721903744426639,0.7696078431372549,0.7708969459038347,bad
lij,xlmr_raw_wiki,0.7735569568645421,0.7647058823529411,0.7691059553259115,bad
mni,xlmr_raw_wiki,0.19133549871219677,0.3137254901960784,0.23770128536415872,worst
ee,xlmr_raw_wiki,0.5398140673282988,0.5441176470588235,0.5419573138516461,best
lg,xlmr_raw_wiki,0.5569788975872079,0.5392156862745098,0.5479533705501181,good
ks,xlmr_raw_wiki,0.0625,0.25,0.1,good
ny,xlmr_raw_wiki,0.0625,0.25,0.1,best
yo,xlmr_raw_wiki,0.21925053909031642,0.4019607843137255,0.2837363561598507,bad
ln,xlmr_raw_wiki,0.6533947221803507,0.5735294117647058,0.6108626936162972,best
rw,xlmr_raw_wiki,0.559117080312014,0.5,0.5279086615686521,best
sn,xlmr_raw_wiki,0.15335011009751495,0.30392156862745096,0.2038455831770911,best
ig,xlmr_raw_wiki,0.758804640297426,0.7598039215686274,0.7593039521573685,best
awa,xlmr_raw_wiki,0.8192698825268029,0.8186274509803921,0.8189485407633161,good
tn,xlmr_raw_wiki,0.09818929927128646,0.25980392156862747,0.14251646970802975,good
rn,xlmr_raw_wiki,0.10185453491741524,0.27450980392156865,0.14857979634815557,good
wo,xlmr_raw_wiki,0.5989526674695693,0.5980392156862745,0.5984955930399861,best
nso,xlmr_raw_wiki,0.42545353918693574,0.3480392156862745,0.38287240612575074,bad
bm,xlmr_raw_wiki,0.4242132763938038,0.35784313725490197,0.38821191678923533,best
mi,xlmr_raw_wiki,0.16709901842331776,0.2647058823529412,0.20487073227996408,worst
pag,xlmr_raw_wiki,0.7730471923157082,0.7598039215686274,0.7663683484440651,worst
zu,xlmr_raw_wiki,0.6605726027380187,0.553921568627451,0.6025642953717427,good
fon,xlmr_raw_wiki,0.0625,0.25,0.1,best
tw,xlmr_raw_wiki,0.676467485611146,0.6519607843137255,0.6639880864726234,best
ban,xlmr_raw_wiki,0.833070850085214,0.8186274509803921,0.8257859998419151,bad
ace,xlmr_raw_wiki,0.0625,0.25,0.1,bad
shn,xlmr_raw_wiki,0.12789661319073084,0.2647058823529412,0.17246444548307407,bad
ht,xlmr_raw_wiki,0.7427651912708839,0.7156862745098039,0.7289743471740009,bad
ti,xlmr_pre_filtered,0.09501788136638303,0.20588235294117646,0.130026518804243,best
ts,xlmr_pre_filtered,0.12882477249710253,0.2549019607843137,0.17115141718845098,best
mai,xlmr_pre_filtered,0.8045787508065065,0.7941176470588235,0.7993139727056697,bad
lij,xlmr_pre_filtered,0.7730191254088313,0.75,0.7613356055538626,bad
mni,xlmr_pre_filtered,0.13925170327072406,0.29411764705882354,0.18901375135908585,worst
ee,xlmr_pre_filtered,0.06439393939393939,0.25,0.10240963855421686,best
lg,xlmr_pre_filtered,0.18311267193444544,0.3333333333333333,0.2363753681465061,good
ks,xlmr_pre_filtered,0.7053142036244284,0.6862745098039216,0.695664106325795,good
ny,xlmr_pre_filtered,0.6262515262515262,0.6225490196078431,0.6243947842407616,best
yo,xlmr_pre_filtered,0.10228194726166327,0.22549019607843138,0.14072932561194246,bad
ln,xlmr_pre_filtered,0.35212864521807613,0.39705882352941174,0.37324646082253027,best
rw,xlmr_pre_filtered,0.6447551495345613,0.6323529411764706,0.6384938254049588,best
sn,xlmr_pre_filtered,0.47269426289034133,0.31862745098039214,0.38066279602282793,best
ig,xlmr_pre_filtered,0.7534866416933451,0.75,0.7517392780204974,best
awa,xlmr_pre_filtered,0.8496811285306524,0.8480392156862745,0.8488593781385384,good
tn,xlmr_pre_filtered,0.12289388117055867,0.25980392156862747,0.166859135518265,good
rn,xlmr_pre_filtered,0.08951074870274277,0.25,0.13182314410480347,good
wo,xlmr_pre_filtered,0.14790796049913532,0.25,0.18585700109341835,best
nso,xlmr_pre_filtered,0.09916145945557711,0.24019607843137256,0.14037226838141273,bad
bm,xlmr_pre_filtered,0.13420419776896794,0.3333333333333333,0.19136317242462245,best
mi,xlmr_pre_filtered,0.5077300150829562,0.5098039215686274,0.5087648548394714,worst
pag,xlmr_pre_filtered,0.7640092621194513,0.7647058823529411,0.7643574135147525,worst
zu,xlmr_pre_filtered,0.36089112952606445,0.37254901960784315,0.3666274246068178,good
fon,xlmr_pre_filtered,0.11376848985208118,0.2549019607843137,0.15732104967298915,best
tw,xlmr_pre_filtered,0.6885593652682109,0.6862745098039216,0.6874150389195907,best
ban,xlmr_pre_filtered,0.8018965760310087,0.7941176470588235,0.797988154403094,bad
ace,xlmr_pre_filtered,0.0625,0.25,0.1,bad
shn,xlmr_pre_filtered,0.0625,0.25,0.1,bad
ht,xlmr_pre_filtered,0.7066144923561803,0.7009803921568627,0.703786166609883,bad
ti,xlmr_baseline,0.2886361441128175,0.20098039215686275,0.23696179004251136,best
ts,xlmr_baseline,0.2903535761806587,0.38235294117647056,0.33006234061753204,best
mai,xlmr_baseline,0.8389481647395067,0.8284313725490197,0.8336566019550048,bad
lij,xlmr_baseline,0.6935009603567788,0.6813725490196079,0.6873832594537007,bad
mni,xlmr_baseline,0.12806668561144263,0.28921568627450983,0.17752436653680823,worst
ee,xlmr_baseline,0.0625,0.25,0.1,best
lg,xlmr_baseline,0.191292042981655,0.3333333333333333,0.2430839879500378,good
ks,xlmr_baseline,0.06280788177339902,0.25,0.10039370078740158,good
ny,xlmr_baseline,0.0625,0.25,0.1,best
yo,xlmr_baseline,0.0625,0.25,0.1,bad
ln,xlmr_baseline,0.36533972563384326,0.3382352941176471,0.35126542609847033,best
rw,xlmr_baseline,0.1412796697626419,0.25980392156862747,0.18302923896948461,best
sn,xlmr_baseline,0.12477678571428573,0.31862745098039214,0.1793276016938278,best
ig,xlmr_baseline,0.1944944644524476,0.2647058823529412,0.2242325345954801,best
awa,xlmr_baseline,0.7765829259910763,0.7401960784313726,0.7579530501402659,good
tn,xlmr_baseline,0.06280788177339902,0.25,0.10039370078740158,good
rn,xlmr_baseline,0.0625,0.25,0.1,good
wo,xlmr_baseline,0.06280788177339902,0.25,0.10039370078740158,best
nso,xlmr_baseline,0.09581105169340465,0.25,0.13853092783505155,bad
bm,xlmr_baseline,0.15908859817033552,0.22549019607843138,0.18655692790001904,best
mi,xlmr_baseline,0.13259972181092114,0.3333333333333333,0.18972642864594616,worst
pag,xlmr_baseline,0.7437781677016096,0.7352941176470589,0.7395118101565658,worst
zu,xlmr_baseline,0.06281407035175879,0.24509803921568626,0.09999999999999998,good
fon,xlmr_baseline,0.20283595347533967,0.3431372549019608,0.25495966176732865,best
tw,xlmr_baseline,0.635865751215016,0.6274509803921569,0.6316303410152536,best
ban,xlmr_baseline,0.7518423455663112,0.7352941176470589,0.7434761607530541,bad
ace,xlmr_baseline,0.0625,0.25,0.1,bad
shn,xlmr_baseline,0.0625,0.25,0.1,bad
ht,xlmr_baseline,0.0625,0.25,0.1,bad
